2020-09-29 22:23:28,993 - INFO - #####################################
2020-09-29 22:23:29,015 - INFO - ############Start Training###########
2020-09-29 22:23:29,015 - INFO - #####################################
2020-09-29 22:23:44,426 - INFO - Env 16, Goal (005.5, -02.5), Episode 00000, setp 029, Reward -26.5, Crashed,
2020-09-29 22:23:44,426 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00000, setp 012, Reward -28.1, Crashed,
2020-09-29 22:23:44,436 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00000, setp 025, Reward -24.3, Crashed,
2020-09-29 22:23:44,461 - INFO - Env 15, Goal (003.5, -02.5), Episode 00000, setp 045, Reward -23.6, Crashed,
2020-09-29 22:23:46,704 - INFO - Env 08, Goal (003.0, 003.0), Episode 00000, setp 017, Reward -42.9, Crashed,
2020-09-29 22:23:46,704 - INFO - Env 09, Goal (005.0, 003.0), Episode 00000, setp 035, Reward -44.5, Crashed,
2020-09-29 22:23:46,710 - INFO - Env 06, Goal (-02.0, 003.0), Episode 00000, setp 042, Reward -42.9, Crashed,
2020-09-29 22:23:46,729 - INFO - Env 07, Goal (000.0, 003.0), Episode 00000, setp 050, Reward -40.7, Crashed,
2020-09-29 22:23:54,382 - INFO - Env 10, Goal (010.0, 010.0), Episode 00000, setp 017, Reward -26.7, Crashed,
2020-09-29 22:23:54,382 - INFO - Env 11, Goal (012.0, 010.0), Episode 00000, setp 018, Reward -25.7, Crashed,
2020-09-29 22:23:54,387 - INFO - Env 12, Goal (014.0, 010.0), Episode 00000, setp 077, Reward 13.6 , Reach Goal,
2020-09-29 22:23:54,387 - INFO - Env 13, Goal (016.0, 010.0), Episode 00000, setp 036, Reward -23.3, Crashed,
2020-09-29 22:23:54,395 - INFO - Env 14, Goal (018.0, 010.0), Episode 00000, setp 022, Reward -27.5, Crashed,
2020-09-29 22:23:55,419 - INFO - Env 16, Goal (005.5, -02.5), Episode 00001, setp 031, Reward -25.9, Crashed,
2020-09-29 22:23:55,423 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00001, setp 001, Reward -30.0, Crashed,
2020-09-29 22:23:55,424 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00001, setp 001, Reward -30.0, Crashed,
2020-09-29 22:23:55,427 - INFO - Env 15, Goal (003.5, -02.5), Episode 00001, setp 035, Reward -25.4, Crashed,
2020-09-29 22:24:02,474 - INFO - Env 20, Goal (-00.5, -05.5), Episode 00000, setp 022, Reward -44.3, Crashed,
2020-09-29 22:24:02,475 - INFO - Env 21, Goal (001.5, -05.5), Episode 00000, setp 104, Reward -26.2, Crashed,
2020-09-29 22:24:02,479 - INFO - Env 22, Goal (003.5, -05.5), Episode 00000, setp 055, Reward -42.2, Crashed,
2020-09-29 22:24:02,481 - INFO - Env 23, Goal (005.5, -05.5), Episode 00000, setp 084, Reward -41.8, Crashed,
2020-09-29 22:24:02,492 - INFO - Env 19, Goal (-02.5, -05.5), Episode 00000, setp 015, Reward -42.8, Crashed,
2020-09-29 22:24:11,944 - INFO - Env 16, Goal (005.5, -02.5), Episode 00002, setp 024, Reward -26.2, Crashed,
2020-09-29 22:24:11,946 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00002, setp 052, Reward -23.2, Crashed,
2020-09-29 22:24:11,966 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00002, setp 023, Reward -25.1, Crashed,
2020-09-29 22:24:11,987 - INFO - Env 15, Goal (003.5, -02.5), Episode 00002, setp 042, Reward -24.7, Crashed,
2020-09-29 22:24:13,938 - INFO - Env 08, Goal (003.0, 003.0), Episode 00001, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:13,947 - INFO - Env 09, Goal (005.0, 003.0), Episode 00001, setp 088, Reward -52.1, Crashed,
2020-09-29 22:24:13,948 - INFO - Env 06, Goal (-02.0, 003.0), Episode 00001, setp 031, Reward -42.9, Crashed,
2020-09-29 22:24:13,948 - INFO - Env 07, Goal (000.0, 003.0), Episode 00001, setp 027, Reward -42.8, Crashed,
2020-09-29 22:24:16,364 - INFO - Env 22, Goal (003.5, -05.5), Episode 00001, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:16,364 - INFO - Env 20, Goal (-00.5, -05.5), Episode 00001, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:16,364 - INFO - Env 23, Goal (005.5, -05.5), Episode 00001, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:16,364 - INFO - Env 21, Goal (001.5, -05.5), Episode 00001, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:16,366 - INFO - Env 19, Goal (-02.5, -05.5), Episode 00001, setp 041, Reward -42.0, Crashed,
